intent_id,verdict
ran-read-throughput,A
ran-read-prb-utilization,B
core-read-amf-registrations,B
core-read-upf-status,B
security-list-firewall-rules,A
slice-read-active-count,A
security-read-auth-failures,A
ran-diagnose-handover-failures,B
ran-adjust-tilt-coverage-hole,B
core-scale-smf-sessions,B
slice-reconfigure-urllc-latency,B
security-mitigate-signaling-storm,A
core-diagnose-pdu-session-drops,B
slice-resize-mmtc-capacity,B
ran-optimize-multicell-load-balance,A
slice-admission-multitenant-contention,A
security-isolate-compromised-slice,B
core-redesign-edge-upf-placement,A
ran-energy-saving-vs-sla,A
security-zero-trust-rollout-impact,B
